"STA","Station Name","Elevation","Latitude","Longitude","Nearby City","Hydro #","Basin #","Owner","Maintenance","Operator","Map #","Collect #","County Name","Basin Name","Agency Name","Hydro Area","Sensors"
"IPN","INDEPENDENCE","3950","36.798","-118.204","INDEPENDENCE","9","11001","0","0","71","32","0","INYO","OWENS R","City of Los Angeles; Dept of Water and Power","SOUTH LAHONTAN","2"
"ISB","ISABELLA DAM","2635","35.646","-118.473","LAKE ISABELLA","7","9701","0","0","56","39","0","KERN","KERN R","US Army Corps of Engineers","TULARE LAKE","2,6,7,8,15,22,23,31,32,45,64,76,91,93,94,200,203"
"JNL","JUNCAL DAM","2075","34.483","-119.5",,"3","4001","0","0","40","45","0","SANTA BARBARA","SANTA YNEZ R","National Weather Service","CENTRAL COAST","2"
"JSV","JESS VALLEY","5300","41.27","-120.3","ALTURAS","5","6701","40","40","40","5","0","MODOC","PIT R","National Weather Service","SACRAMENTO RIVER","2"
"KCP","KERN CANYON PH (OBSERVER)","702","35.441","-118.441","BAKERSFIELD","7","9701","0","0","60","39","0","KERN","KERN R","Pacific Gas & Electric","TULARE LAKE","2,45"
"KLR","KILARC PH","2650","40.683","-121.867","WHITMORE","5","7001","0","0","60","9","0","SHASTA","SACTO VLY NE","Pacific Gas & Electric","SACRAMENTO RIVER","2,45"
"KNC","KING CITY","320","36.2","-121.133",,"3","3301","0","0","3","29","0","MONTEREY","SALINAS R","CA Dept of Forestry and Fire Protection","CENTRAL COAST","2"
"KNF","KNIGHTS FERRY 2 ESE","315","37.8","-120.65","OAKDALE","6","8501","0","0","999","24","0","STANISLAUS","STANISLAUS R",".None Specified","SAN JOAQUIN RIVER","2"
"KP3","KERN PH 3","2703","35.7759017944336","-118.436058044434","KERNVILLE","7","9701","0","0","68","999","0","KERN","KERN R","Southern California Edison Company, Big Creek","TULARE LAKE","2,4,9,10,11,12,13,14,16,26,31,32,45,77,78"
"KR1","KERN PH 1","1000","35.46","-118.77","BAKERSFIELD","7","9701","0","0","68","39","0","KERN","KERN R","Southern California Edison Company, Big Creek","TULARE LAKE","2,45"
"KR3","KERN R INTAKE NO. 3","3650","35.95","-118.48","KERNVILLE","7","9701","0","0","68","39","0","KERN","KERN R","Southern California Edison Company, Big Creek","TULARE LAKE","2,45"
"KTM","KETTLEMAN CITY (NWS)","508","36.067","-120.083","KETTLEMAN CITY","7","9801","0","0","40","30","0","KINGS","TULARE LAKE","National Weather Service","TULARE LAKE","2"
"LAL","LOS ALAMOS","565","34.745","-120.279",,"3","4001","0","0","40","44","0","SANTA BARBARA","SANTA YNEZ R","National Weather Service","CENTRAL COAST","2"
"LAN","LOS ANGELES-WSO AIRPORT","100","33.933","-118.4","LOS ANGELES","4","4301","0","0","40","53","0","LOS ANGELES","VENTURA LA COASTAL","National Weather Service","SOUTH COAST","2"
"LBC","LONG BEACH WB AP","25","33.817","-118.15",,"4","4301","0","0","40","53","0","LOS ANGELES","VENTURA LA COASTAL","National Weather Service","SOUTH COAST","2"
"LCC","LOS ANGELES CIVIC CENTER","270","34.05","-118.233","LOS ANGELES","4","4801","0","0","40","46","0","LOS ANGELES","LOS ANGELES R","National Weather Service","SOUTH COAST","2"
"LDG","LODGEPOLE","6735","36.6","-118.733","GIANT FOREST","7","9501","0","0","53","32","0","TULARE","KAWEAH R","Sequoia and Kings Canyon National Parks","TULARE LAKE","2,45"
"LFH","LEWISTON FISH HATCHERY","1870","40.727","-122.793","LEWISTON","1","901","50","999","50","8","0","TRINITY","TRINITY R","US Bureau of Reclamation","NORTH COAST","2,9,10,12,14,16,25,26,30,45,64,203"
"LGB","LAGUNA BEACH","35","33.547","-117.78","SANTA ANA","4","5701","0","0","40","54","0","ORANGE","SANTA ANA R","National Weather Service","SOUTH COAST","2"
"LGT","LAGUNITAS LAKE","799","37.947","-122.597","PETALUMA","2","1701","0","0","89","22","0","MARIN","COAST-MARIN","Marin Municipal Water District","SAN FRANCISCO BAY","2,15"
"LMC","LEMON COVE","513","36.383","-119.033",,"7","9501","0","0","40","31","0","TULARE","KAWEAH R","National Weather Service","TULARE LAKE","2"
"LNC","LANCASTER FSS FAA","2340","34.738736","-118.216309","LANCASTER","9","11501","40","40","40","0","0","LOS ANGELES","MOJAVE DESERT","National Weather Service","SOUTH LAHONTAN","2"
"LND","LINDSAY","420","36.2","-119.05",,"7","9801","0","0","40","31","0","TULARE","TULARE LAKE","National Weather Service","TULARE LAKE","2"
"LOD","LODI","40","38.1","-121.283","STOCKTON","6","8301","0","0","40","17","0","SAN JOAQUIN","MOKELUMNE R","National Weather Service","SAN JOAQUIN RIVER","2"
"LPA","LAKE PALMDALE","2980","34.5372","-118.1014","PALMDALE","9","11501","0","0","172","46","0","LOS ANGELES","MOJAVE DESERT","Los Angeles County Fire Dept","SOUTH LAHONTAN","2,4,9,10,11,12,13,14,17,26,30,31,32,77,78"
"LSB","LOS BANOS","120","37.05","-120.867","LOS BANOS","6","9301","0","0","40","24","0","MERCED","SAN JOAQUIN FLOOR","National Weather Service","SAN JOAQUIN RIVER","2,15"
"LSP","LAKE SPAULDING (PG&E)","5156","39.317","-120.633","EMIGRANT GAP","5","7401","0","0","60","14","0","NEVADA","YUBA R","Pacific Gas & Electric","SACRAMENTO RIVER","2,12,14,16,30,31,32,45"
"LVG","LEEVINING RS","6797","37.95","-119.117","LEE VINING","9","10901","0","0","40","25","0","MONO","MONO LAKE","National Weather Service","SOUTH LAHONTAN","2"
"LYT","LYTLE CREEK R S","2730","34.233","-117.483",,"4","5701","0","0","44","47","0","SAN BERNARDINO","SANTA ANA R","US Forest Service","SOUTH COAST","2"
"MAD","MAD RIVER RS","2775","40.45","-123.533",,"1","1201","0","0","44","7","0","TRINITY","EEL R","US Forest Service","NORTH COAST","2"
"MCN","MOCCASIN","938","37.810184","-120.299006","BIG OAK FLAT","6","8601","0","0","94","23","0","TUOLUMNE","TUOLUMNE R","Hetch Hetchy Water and Power","SAN JOAQUIN RIVER","2,45"
"MDE","MODESTO IRRIG DISTRICT OFFICE","91","37.65","-121.001","MODESTO","6","8601","0","0","206","23","0","STANISLAUS","TUOLUMNE R","Modesto Irrigation District","SAN JOAQUIN RIVER","2"
"MDR","MADERA","270","36.95","-120.033",,"6","9301","0","0","120","30","0","MADERA","SAN JOAQUIN FLOOR","Madera County","SAN JOAQUIN RIVER","2"
"MEN","SAN JOAQUIN RIVER NEAR MENDOTA","170","36.8105049133301","-120.378227233887","MENDOTA","6","9001","700","999","58","30","0","FRESNO","SAN JOAQUIN R","US Geological Survey","SAN JOAQUIN RIVER","1,2,14,20,41,100,146"
"MFS","MERCED","153","37.283","-120.517",,"6","9301","0","0","124","24","0","MERCED","SAN JOAQUIN FLOOR","Merced County","SAN JOAQUIN RIVER","2"
"MIL","FRIANT DAM (MILLERTON)","581","37.001","-119.705","FRIANT","6","9001","0","0","50","25","0","FRESNO","SAN JOAQUIN R","US Bureau of Reclamation","SAN JOAQUIN RIVER","2,6,7,14,15,22,23,45,71,74,76,85,94,200"
"MIS","MEYERS FIRE STATION","6400","38.848888","-120.01889","SOUTH LAKE TAHOE","8","10601","0","0","109","18","0","EL DORADO","LAKE TAHOE","El Dorado County","NORTH LAHONTAN","2"
"MKV","MARKLEEVILLE","5530","38.7","-119.783","MARKLEEVILLE","8","10701","0","0","40","19","0","ALPINE","CARSON R","National Weather Service","NORTH LAHONTAN","2"
"MLD","MCCLOUD","3280","41.25","-122.133","MCCLOUD","5","6601","0","0","50","3","0","SHASTA","MC CLOUD R","US Bureau of Reclamation","SACRAMENTO RIVER","2,4,9,10,12,13,14,45,77,78"
"MNH","MOUNTAIN HOME","5400","36.242","-118.71","MILO","7","9601","0","0","56","32","0","TULARE","TULE R","US Army Corps of Engineers","TULARE LAKE","2,4,45"
"MNR","MINERAL (OBSERVER)","4875","40.35","-121.6","CHESTER","5","7001","0","0","40","9","0","TEHAMA","SACTO VLY NE","National Weather Service","SACRAMENTO RIVER","2,45"
"MRA","MARICOPA","675","35.083","-119.383","MARICOPA","7","9801","0","0","40","38","0","KERN","TULARE LAKE","National Weather Service","TULARE LAKE","2"
"MRP","MARIPOSA RANGER STATION","2250","37.504166","-119.986946","MARIPOSA","6","8701","0","0","3","25","0","MARIPOSA","MERCED R","CA Dept of Forestry and Fire Protection","SAN JOAQUIN RIVER","2,4,9,10,11,12,13,14,26,30,31,32,45,77,78"
"MSC","MOUNT SHASTA CITY","3590","41.317","-122.317","MOUNT SHASTA CITY","5","6501","0","0","40","3","0","SISKIYOU","SACRAMENTO R","National Weather Service","SACRAMENTO RIVER","2,45"
"MTP","MOUNTAIN PASS","4730","35.467","-115.533",,"9","11501","0","0","40","42","0","SAN BERNARDINO","MOJAVE DESERT","National Weather Service","SOUTH LAHONTAN","2"
"MTR","MATHER","4809","37.883","-119.85","MATHER CAMP","6","8601","0","0","999","25","0","TUOLUMNE","TUOLUMNE R",".None Specified","SAN JOAQUIN RIVER","2"
"MTY","MONTEREY AIRPORT","217","36.590557","-121.847504","MONTEREY","3","3601","0","0","40","29","13","MONTEREY","CARMEL R","National Weather Service","CENTRAL COAST","2,45"
"MZL","MANZANITA LAKE","5850","40.533","-121.567","SUMMERTOWN","5","6701","0","0","1","9","0","SHASTA","PIT R","CA Dept of Water Resources","SACRAMENTO RIVER","2"
"NCY","NEW CUYAMA FIRE STATION","2160","34.95","-119.683","CUYAMA","3","3901","0","0","40","45","0","SANTA BARBARA","SANTA MARIA R","National Weather Service","CENTRAL COAST","2"
"NDL","NEEDLES","480","34.833","-114.6",,"10","11801","0","0","40","50","0","SAN BERNARDINO","COLORADO R","National Weather Service","COLORADO RIVER","2"
"NFR","NORTH FORK R S","2630","37.233","-119.5","BASS LAKE","6","9001","0","0","44","25","0","MADERA","SAN JOAQUIN R","US Forest Service","SAN JOAQUIN RIVER","2,4,9,10,11,12,13,14,26,30,31,32,45,77,78,203"
"NIC","FEATHER RIVER NEAR NICOLAUS","43","38.889835357666","-121.604759216309","NICOLAUS","5","7301","704","704","704","999","0","SUTTER","FEATHER R","CA Dept of Water Resources/North Central Region Office","SACRAMENTO RIVER","1,2,14,169"
"NLD","NILAND","-60","33.283","-115.517","NILAND","10","11801","0","0","201","56","0","IMPERIAL","COLORADO R","Imperial Irrigation District","COLORADO RIVER","2"
"NMQ","NEW MELONES DAM HQ","960","38.0","-120.49","JAMESTOWN","6","8501","0","0","56","17","13","TUOLUMNE","STANISLAUS R","US Army Corps of Engineers","SAN JOAQUIN RIVER","2,203"
"NSH","NAPA FIRE DEPARTMENT","35","38.283","-122.267",,"2","1901","0","0","128","16","13","NAPA","NAPA R","Napa County","SAN FRANCISCO BAY","2"
"NVD","NEVADA CITY","2781","39.25","-121.001","NEVADA CITY","5","7401","0","0","129","13","0","NEVADA","YUBA R","Nevada County","SACRAMENTO RIVER","2,45"
"OKM","OAKLAND MUSEUM","30","37.8","-122.267","OAKLAND","2","2801","0","0","40","22","0","ALAMEDA","SF BAY","National Weather Service","SAN FRANCISCO BAY","2"
"OLS","KLAMATH RIVER AT ORLEANS","430","41.3034591674805","-123.53450012207","ORLEANS","1","201","409","702","409","2","0","HUMBOLDT","KLAMATH R","USGS/DWR-DFM-Hydro-SMN","NORTH COAST","1,2,14,16,20,41,45,169"
"ORL","ORLAND","254","39.75","-122.2","ORLAND","5","7101","0","0","40","12","0","GLENN","SACTO VLY WEST","National Weather Service","SACRAMENTO RIVER","2"
"OSM","OCEANSIDE MARINA","10","33.217","-117.4","OCEANSIDE","4","6101","0","0","400","54","0","SAN DIEGO","SAN DIEGO R","Oceanside Small Craft Harbor","SOUTH COAST","2"
"OXN","OXNARD","49","34.2","-119.183","OXNARD","4","4601","0","0","77","45","0","VENTURA","SANTA CLARA R","City of Oxnard","SOUTH COAST","2"
"PAL","SANTA PAULA","237","34.317","-119.133","OXNARD","4","4601","0","0","40","45","0","VENTURA","SANTA CLARA R","National Weather Service","SOUTH COAST","2"
"PAS","SALINAS RIVER AT PASO ROBLES","700","35.6285820007324","-120.68433380127","PASO ROBLES","3","3301","700","999","5","37","0","SAN LUIS OBISPO","SALINAS R","USGS/DWR","CENTRAL COAST","1,2,14,16,20,45,169"
"PCF","PACIFIC HOUSE (OBSERVER)","3400","38.765","-120.5","POLLACK PINES","5","7701","0","0","40","18","0","EL DORADO","AMERICAN R","National Weather Service","SACRAMENTO RIVER","2,45"
"PCR","PINECREST (PG&E)","5600","38.2","-119.983","SONORA","6","8501","0","0","60","19","0","TUOLUMNE","STANISLAUS R","Pacific Gas & Electric","SAN JOAQUIN RIVER","2,12,14,30,31,32,45"
"PCV","PLACERVILLE","1850","38.7","-120.82","PLACERVILLE","5","7701","0","0","40","18","0","EL DORADO","AMERICAN R","National Weather Service","SACRAMENTO RIVER","2,45"
"PLE","PLUMAS EUREKA PARK","5165","39.75778","-120.69593",,"5","7301","0","0","132","13","0","PLUMAS","FEATHER R","Plumas County","SACRAMENTO RIVER","2"
"PMS","PALM SPRINGS","425","33.833","-116.5","PALM SPRINGS","10","12001","40","40","40","55","0","RIVERSIDE","WHITEWATER R","National Weather Service","COLORADO RIVER","2"
"PNC","PINECREST-STRAWBERRY","5620","38.2","-119.984","SONORA","6","8501","0","0","60","19","0","TUOLUMNE","STANISLAUS R","Pacific Gas & Electric","SAN JOAQUIN RIVER","2,45"
"PNF","PINE FLAT DAM","970","36.833","-119.325","FRESNO","7","9401","0","0","56","31","0","FRESNO","KINGS R","US Army Corps of Engineers","TULARE LAKE","2,6,7,8,15,22,23,31,32,45,64,76,91,93,94,200,203"
"PNH","PANOCHE 2W","1320","36.6","-120.867",,"6","9301","0","0","40","30","0","SAN BENITO","SAN JOAQUIN FLOOR","National Weather Service","SAN JOAQUIN RIVER","2"
"PR1","PIT #1 PH (PG&E)","2880","41.0","-121.498","BURNEY","5","6701","0","0","60","4","0","SHASTA","PIT R","Pacific Gas & Electric","SACRAMENTO RIVER","2,12,14,16,30,45"
"PR5","PIT #5 PH (PG&E)","1458","40.987","-121.978","BURNEY","5","6701","0","0","60","9","0","LASSEN","PIT R","Pacific Gas & Electric","SACRAMENTO RIVER","2,12,14,16,30,45"
"PRD","PARADISE FIRE STATION","1750","39.75","-121.617","CHICO","5","7201","0","0","40","13","0","BUTTE","BUTTE CR","National Weather Service","SACRAMENTO RIVER","2,45"
"PRT","PORTOLA","4850","39.8","-120.467","PORTOLA","5","7301","0","0","40","14","0","PLUMAS","FEATHER R","National Weather Service","SACRAMENTO RIVER","2,45"
"PSC","PASCOES","9150","35.967","-118.35","PASCOES","7","9701","0","0","56","39","0","TULARE","KERN R","US Army Corps of Engineers","TULARE LAKE","2,3,4,14,18,25,30,31,32,45,82,96,97,98,99,203"
"PSV","PRIEST VALLEY","2300","36.183","-120.7",,"3","3301","0","0","40","30","0","MONTEREY","SALINAS R","National Weather Service","CENTRAL COAST","2"
"PT1","PIT R PH #1","2880","41.0","-121.5","BURNEY","5","6701","0","0","60","4","0","SHASTA","PIT R","Pacific Gas & Electric","SACRAMENTO RIVER","2,45"
"PT5","PIT R PH #5","1460","40.983","-121.983","BURNEY","5","6701","0","0","60","9","0","SHASTA","PIT R","Pacific Gas & Electric","SACRAMENTO RIVER","2,45"
"PVP","POTTER VALLEY PH","1020","39.367","-123.133","UKIAH","1","1601","0","0","60","11","0","MENDOCINO","RUSSIAN R","Pacific Gas & Electric","NORTH COAST","2,4,7,12,14,16,17,45,69"
"QNC","QUINCY RS (USFS)","3420","39.96","-120.95","QUINCY","5","7301","0","0","44","14","0","PLUMAS","FEATHER R","US Forest Service","SACRAMENTO RIVER","2,45"
"QRD","QUINCY RADIO STATION","3420","39.9366","-120.9475","QUINCY","5","7301","0","0","40","14","0","PLUMAS","FEATHER R","National Weather Service","SACRAMENTO RIVER","2,45"
"RBF","RED BLUFF","353","40.152","-122.254","RED BLUFF","5","7101","0","0","40","8","0","TEHAMA","SACTO VLY WEST","National Weather Service","SACRAMENTO RIVER","2"
"RDD","REDDING AIRPORT","502","40.5","-122.3","REDDING","5","7001","40","40","40","8","0","SHASTA","SACTO VLY NE","National Weather Service","SACRAMENTO RIVER","2,45"
"RGC","ROGERS CAMP","6200","36.108","-118.637","CAMP NELSON","7","9601","0","0","56","32","0","TULARE","TULE R","US Army Corps of Engineers","TULARE LAKE","2,4,45,203"
"RIV","RIO VISTA","0","38.159203","-121.684543","RIO VISTA","5","8101","0","0","50","16","0","SOLANO","DELTA","US Bureau of Reclamation","SACRAMENTO RIVER","2,5,14,25,100"
"RSH","RUSH CREEK POWER HOUSE","7240","37.769","-119.131","LEE VINING","9","10901","0","0","44","25","0","MONO","MONO LAKE","US Forest Service","SOUTH LAHONTAN","2,4,9,10,11,12,13,14,26,30,31,32,77,78"
"RVD","RAVENDALE 5 ESE","5350","40.79","-120.28","SUSANVILLE","8","10401","0","0","999","10","0","LASSEN","SUSAN R",".None Specified","NORTH LAHONTAN","2"
"SAM","SANTA MARIA WB AP","254","34.8994","-120.4486","SANTA MARIA","3","3901","0","0","40","44","0","SANTA BARBARA","SANTA MARIA R","National Weather Service","CENTRAL COAST","2"
"SAP","SALINAS NO2","45","36.667","-121.667",,"3","3301","0","0","40","29","0","MONTEREY","SALINAS R","National Weather Service","CENTRAL COAST","2"
"SBD","SAN BERNARDINO MED CENTER","1125","34.133","-117.267",,"4","5701","0","0","40","47","0","SAN BERNARDINO","SANTA ANA R","National Weather Service","SOUTH COAST","2"
"SBN","LAKE SABRINA","9065","37.217","-118.617","BISHOP","9","11001","0","0","68","26","0","INYO","OWENS R","Southern California Edison Company, Big Creek","SOUTH LAHONTAN","2"
"SBR","SANTA BARBARA SANITATION","5","34.417","-119.75",,"3","4201","0","0","142","45","0","SANTA BARBARA","S BARBARA COAST","Santa Barbara County","CENTRAL COAST","2"
"SCA","SCOTIA","139","40.483","-124.1",,"1","1201","0","0","40","6","0","HUMBOLDT","EEL R","National Weather Service","NORTH COAST","2"
"SCC","SUCCESS DAM","692","36.061","-118.922","PORTERVILLE","7","9601","0","0","56","32","0","TULARE","TULE R","US Army Corps of Engineers","TULARE LAKE","2,6,7,8,15,22,23,31,32,45,64,65,66,76,91,93,94,200,203,260,261,262,263,264,265"
"SCR","SACRAMENTO WB CITY","25","38.583","-121.5","SACRAMENTO","5","7101","0","0","40","17","0","SACRAMENTO","SACTO VLY WEST","National Weather Service","SACRAMENTO RIVER","2,45"
"SDG","SAN DIEGO NWS-LINDBERGH FIELD","13","32.733","-117.167","SAN DIEGO","4","6101","0","0","40","59","0","SAN DIEGO","SAN DIEGO R","National Weather Service","SOUTH COAST","2,45"
"SDR","SAN ANDREAS","54","38.2","-120.68","SAN ANDREAS","6","8401","0","0","40","18","0","CALAVERAS","CALAVERAS R","National Weather Service","SAN JOAQUIN RIVER","2,45"
"SEY","SOUTH ENTRANCE YOSEMITE","5120","37.5","-119.633","WAWONA","6","8701","0","0","40","25","0","MARIPOSA","MERCED R","National Weather Service","SAN JOAQUIN RIVER","2,45"
"SFB","SPRING GAP FOREBAY (PG&E)","5100","38.172","-120.103","PINECREST","6","8501","0","0","60","18","0","CALAVERAS","STANISLAUS R","Pacific Gas & Electric","SAN JOAQUIN RIVER","2,12,14,16,30,31,32,45"
"SFF","SAN FRANCISCO WB AP","8","37.617","-122.383",,"2","2801","0","0","40","22","0","SAN MATEO","SF BAY","National Weather Service","SAN FRANCISCO BAY","2"
"SGF","SPRING GAP FOREBAY","5100","38.172","-120.103","PINECREST","6","8501","0","0","60","18","0","TUOLUMNE","STANISLAUS R","Pacific Gas & Electric","SAN JOAQUIN RIVER","2,45"
"SGH","SAGEHEN CREEK","6337","39.433","-120.233","TRUCKEE","8","10501","0","0","40","14","0","NEVADA","TRUCKEE R","National Weather Service","NORTH LAHONTAN","2"
"SGS","SAUGUS POWER PLANT 1","2105","34.583","-118.45",,"4","4601","0","0","170","46","0","LOS ANGELES","SANTA CLARA R","Los Angeles County","SOUTH COAST","2"
"SGV","SPRINGVILLE TULE POWERPLANT","4070","36.1631","-118.7072","PORTERVILLE","7","9601","0","0","60","32","0","TULARE","TULE R","Pacific Gas & Electric","TULARE LAKE","2,14,16,30,45,203"
"SHA","SHASTA DAM  (USBR)","1067","40.718","-122.42","REDDING","5","6501","0","0","50","8","0","SHASTA","SACRAMENTO R","US Bureau of Reclamation","SACRAMENTO RIVER","2,6,8,15,22,23,45,48,68,71,74,76,85,94,200"
"SHO","SHASTA DAM (OBS)","1075","40.717","-122.417","REDDING","5","6501","0","0","50","8","0","SHASTA","SACRAMENTO R","US Bureau of Reclamation","SACRAMENTO RIVER","2,45"
"SLK","SOUTH LAKE","9600","37.1759033203125","-118.562660217285","BISHOP","9","11001","702","702","702","999","0","INYO","OWENS R","CA Dept of Water Resources/DFM-Hydro-SMN","SOUTH LAHONTAN","2,3,4,9,10,12,14,15,18,30,31,32,77,78,82,103,104,105,115"
"SLO","SAN LUIS OBISPO POLY","315","35.3","-120.667",,"3","3820","0","0","40","37","0","SAN LUIS OBISPO","SAN LUIS OBISPO CREEK","National Weather Service","CENTRAL COAST","2"
"SLP","SLY PARK","3530","38.7173118591309","-120.563056945801","POLLOCK PINES","6","8201","50","702","50","999","0","EL DORADO","COSUMNES R","US Bureau of Reclamation","SAN JOAQUIN RIVER","2,4,14,16,30,31,32,45"
"SLS","SALT SPRINGS","3700","38.497","-120.216","TAMARAK","6","8301","0","0","60","18","0","AMADOR","MOKELUMNE R","Pacific Gas & Electric","SAN JOAQUIN RIVER","2,6,15"
"SND","SAN DIMAS DAM","1350","34.153","-117.771","SAN DIMAS","4","4901","170","170","170","47","0","LOS ANGELES","SAN GABRIEL R","Los Angeles County","SOUTH COAST","2,16,45"
"SNH","STANDISH HICKEY PARK","850","39.883","-123.733","LEGGET","1","1201","0","0","4","11","0","MENDOCINO","EEL R","CA Dept of Parks and Recreation","NORTH COAST","2"
"SNJ","SAN JOSE","67","37.35","-121.9",,"2","2801","0","0","76","23","0","SANTA CLARA","SF BAY","City of San Jose","SAN FRANCISCO BAY","2"
"SOR","SONORA RS","1749","37.983","-120.383","SONORA","6","8601","0","0","306","24","0","TUOLUMNE","TUOLUMNE R","Tuolumne Utility District","SAN JOAQUIN RIVER","2,45"
"SPN","LAKE SPAULDING (PRECIP)","5160","39.317","-120.633","EMIGRANT GAP","5","7401","0","0","60","14","0","NEVADA","YUBA R","Pacific Gas & Electric","SACRAMENTO RIVER","2,45"
"SPV","SPRINGVILLE TULE","4070","36.2","-118.65","PORTERVILLE","7","9601","0","0","40","32","0","TULARE","TULE R","National Weather Service","TULARE LAKE","2,45"
"SRO","SANTA ROSA","109","38.445","-122.753",,"1","1601","0","0","149","16","0","SONOMA","RUSSIAN R","Sonoma County","NORTH COAST","2"
"SRR","SIERRAVILLE RS (USFS)","4975","39.583","-120.367","SIERRAVILLE","5","7301","0","0","44","14","0","SIERRA","FEATHER R","US Forest Service","SACRAMENTO RIVER","2,45"
"SSG","SODA SPRINGS 1 E","6885","39.317","-120.367","NORDEN","5","7401","0","0","44","14","0","NEVADA","YUBA R","US Forest Service","SACRAMENTO RIVER","2"
"SSN","SUSANVILLE","4148","40.367","-120.567","SUSANVILLE","8","10401","0","0","3","10","0","LASSEN","SUSAN R","CA Dept of Forestry and Fire Protection","NORTH LAHONTAN","2,45"
"SSR","SALT SPRINGS PH (PG&E)","3700","38.498","-120.219","BEAR VALLEY","6","8301","0","0","60","18","0","CALAVERAS","MOKELUMNE R","Pacific Gas & Electric","SAN JOAQUIN RIVER","2,12,14,16,30,45"
"SSV","SUSANVILLE 1 WNW","4555","40.433","-120.667","SUSANVILLE","8","10401","0","0","3","10","0","LASSEN","SUSAN R","CA Dept of Forestry and Fire Protection","NORTH LAHONTAN","2"
"STG","STONY GORGE RESERVOIR","800","39.583","-122.533","ELK CREEK","5","7251","0","0","50","12","0","GLENN","STONY CR","US Bureau of Reclamation","SACRAMENTO RIVER","2,4,6,14,15,16,25,30,31,32,45"
"STK","STOCKTON FIRE STATION 4","12","38.001","-121.317","STOCKTON","6","9301","0","0","40","17","0","SAN JOAQUIN","SAN JOAQUIN FLOOR","National Weather Service","SAN JOAQUIN RIVER","2"
"STN","STANISLAUS PH (OBSERVER)","1135","38.14","-120.369","MODESTO","6","8601","0","0","60","18","0","TUOLUMNE","TUOLUMNE R","Pacific Gas & Electric","SAN JOAQUIN RIVER","2,45"
"STS","SALT SPRINGS PH (OBSERVER)","3700","38.5","-120.217","BEAR VALLEY","6","8301","0","0","60","18","0","AMADOR","MOKELUMNE R","Pacific Gas & Electric","SAN JOAQUIN RIVER","2,45"
"STV","STRAWBERRY VALLEY","3808","39.567","-121.1","STRAWBERRY VALLEY","5","7301","0","0","40","13","0","YUBA","FEATHER R","National Weather Service","SACRAMENTO RIVER","2,45"
"TAC","TAHOE CITY (NWS)","6230","39.167","-120.133","TAHOE CITY","8","10601","0","0","40","14","0","PLACER","LAKE TAHOE","National Weather Service","NORTH LAHONTAN","2,45"
"TCP","TIGER CREEK POWERHOUSE","2360","38.45","-120.483","JACKSON","6","8301","0","0","60","18","0","CALAVERAS","MOKELUMNE R","Pacific Gas & Electric","SAN JOAQUIN RIVER","2,4,12,14,16,30,31,32,45"
"TCR","TRACY CARBONA","140","37.7","-121.433","TRACY","6","9301","0","0","40","23","0","SAN JOAQUIN","SAN JOAQUIN FLOOR","National Weather Service","SAN JOAQUIN RIVER","2"
"TGR","TIGER CREEK PH","2360","38.45","-120.483","WEST POINT","6","8301","0","0","60","18","0","AMADOR","MOKELUMNE R","Pacific Gas & Electric","SAN JOAQUIN RIVER","2,45"
"THH","TEHACHAPI","4017","35.133","-118.45","TEHACHAPI","7","9801","0","0","40","39","0","KERN","TULARE LAKE","National Weather Service","TULARE LAKE","2"
"THR","THERMAL FAA AIRPORT","9999","33.633","-116.167","INDIO","10","11801","0","0","999","55","0","RIVERSIDE","COLORADO R",".None Specified","COLORADO RIVER","2"
"TJR","TEJON RANCHO","1425","35.02","-118.75","TEHACHAPI","6","9001","0","0","999","39","0","none specified","SAN JOAQUIN R",".None Specified","SAN JOAQUIN RIVER","2"
"TKE","TRUCKEE RS (OBS)","6020","39.333","-120.183","TRUCKEE","8","10501","0","0","44","14","0","NEVADA","TRUCKEE R","US Forest Service","NORTH LAHONTAN","2,45"
"TLL","TULE LAKE","4035","41.967","-121.467","TULELAKE","1","201","0","0","215","4","0","SISKIYOU","KLAMATH R","Tule Lake Irrigation District","NORTH COAST","2"
"TLP","TULE RIVER PH","2450","36.163","-118.707","PORTERVILLE","7","9601","0","0","168","32","0","TULARE","TULE R","Southern California Edison Company","TULARE LAKE","2"
"TRM","TERMINUS DAM","752","36.415","-119.002","VISALIA","7","9501","0","0","56","31","0","TULARE","KAWEAH R","US Army Corps of Engineers","TULARE LAKE","2,6,7,8,15,22,23,31,32,45,64,76,91,93,94,200"
"UKH","UKIAH","633","39.15","-123.2","UKAIH","1","1601","0","0","40","11","0","MENDOCINO","RUSSIAN R","National Weather Service","NORTH COAST","2"
"VCT","VICTORVILLE PUMP PLANT","2858","34.533","-117.3","VICTORVILLE","9","11501","0","0","40","47","0","SAN BERNARDINO","MOJAVE DESERT","National Weather Service","SOUTH LAHONTAN","2"
"VLT","VOLTA PH","2200","40.467","-121.867","SHINGLETOWN","5","7001","0","0","60","9","0","SHASTA","SACTO VLY NE","Pacific Gas & Electric","SACRAMENTO RIVER","2,45"
"VNR","VENTURA","135","34.28","-119.3","VENTURA","4","4601","0","0","999","45","0","VENTURA","SANTA CLARA R",".None Specified","SOUTH COAST","2"
"VNT","VINTON","4944","39.8","-120.183","PORTOLA","5","7301","0","0","40","14","0","PLUMAS","FEATHER R","National Weather Service","SACRAMENTO RIVER","2,45"
